W_A,C_A,SM_A,SM_F,SM_C,SN_A,SN_F,SN_C,C,AlternativeID
10,10,10,2,2,30,2,2,1250,631
10,10,10,2,2,30,2,2,3500,632
10,10,10,2,2,30,2,3,50,633
10,10,10,2,2,30,2,3,250,634
10,10,10,2,2,30,2,3,1250,635
10,10,10,2,2,30,2,3,3500,636
10,10,10,2,2,30,3,1,50,637
10,10,10,2,2,30,3,1,250,638
10,10,10,2,2,30,3,1,1250,639
10,10,10,2,2,30,3,1,3500,640
10,10,10,2,2,30,3,2,50,641
10,10,10,2,2,30,3,2,250,642
10,10,10,2,2,30,3,2,1250,643
10,10,10,2,2,30,3,2,3500,644
10,10,10,2,2,30,3,3,50,645
10,10,10,2,2,30,3,3,250,646
10,10,10,2,2,30,3,3,1250,647
10,10,10,2,2,30,3,3,3500,648
10,10,10,2,2,50,1,1,50,649
10,10,10,2,2,50,1,1,250,650
10,10,10,2,2,50,1,1,1250,651
10,10,10,2,2,50,1,1,3500,652
10,10,10,2,2,50,1,2,50,653
10,10,10,2,2,50,1,2,250,654
10,10,10,2,2,50,1,2,1250,655
10,10,10,2,2,50,1,2,3500,656
10,10,10,2,2,50,1,3,50,657
10,10,10,2,2,50,1,3,250,658
10,10,10,2,2,50,1,3,1250,659
10,10,10,2,2,50,1,3,3500,660
10,10,10,2,2,50,2,1,50,661
10,10,10,2,2,50,2,1,250,662
10,10,10,2,2,50,2,1,1250,663
10,10,10,2,2,50,2,1,3500,664
10,10,10,2,2,50,2,2,50,665
10,10,10,2,2,50,2,2,250,666
